avg_size,len,bytes,long_enough,arm_chosen,delta_bmr,stored,type_idx
8886.07,1063,9445888,0,0,0,0,9
8784.08,1138,9996288,0,0,0,0,9
11115,1275,14171648,0,0,0,0,9
10558.5,1008,10642944,0,0,0,0,9
9840.77,1017,10008064,0,0,0,0,9
24355.1,1027,25012736,0,0,0,0,0
11038.3,778,8587776,0,0,0,0,0
9856.4,634,6248960,0,0,0,0,0
10336.3,1079,11152896,0,0,0,0,0
10342.8,1026,10611712,0,0,0,0,0
9424.52,1100,10366976,0,0,0,0,0
10835.3,1032,11182080,0,0,0,0,8
14598.7,1368,19971072,0,0,0.000980512,0,8
24518.6,1223,29986304,0,0,0,0,8
9941.01,1185,11780096,0,0,0,0,8
9176.26,1211,11112448,0,0,0,0,8
8971.37,1013,9088000,0,0,0,0,8
10055.3,1056,10618368,0,0,0,0,8
11689.8,1016,11876864,0,0,0,0,8
9089.92,1202,10926080,0,0,0,0,8
30464.6,1285,39147008,0,0,0,0,8
9941.37,1291,12834304,0,0,0,0,8
9011.11,1142,10290688,0,0,0,0,8
9460.94,1181,11173376,0,0,0,0,8
8828.68,579,5111808,0,0,0,0,8
9325.2,1355,12635648,0,0,0,0,8
9753.77,1073,10465792,0,0,0,0,8
9678.07,1169,11313664,0,0,0,0,8
8956.83,1294,11590144,0,0,0,0,8
9484.57,1018,9655296,0,0,0,0,8
12248.2,926,11341824,0,0,0,0,8
10695.5,1015,10855936,0,0,0,0,8
13160.1,1524,20056064,0,0,0,0,8
9662.35,1045,10097152,0,0,0,0,8
8227.84,1157,9519616,0,0,0,0,0
9153.03,561,5134848,0,0,0,0,0
8388.79,1150,9647104,0,0,0,0,8
8632.01,1017,8778752,0,0,0,0,8
14013.5,1089,15260672,0,0,0,0,0
26904.7,1069,28761088,0,0,0,0,0
28160,1023,28807680,0,0,0,0,0
32485.7,1003,32583168,0,0,0,0,0
24972.5,1068,26670592,0,0,0,0,0
22626,1014,22942720,0,0,0,0,0
30340.7,1146,34770432,0,0,0,0,0
78279.2,1001,78357504,0,0,0,0,0
69293.9,1001,69363200,0,0,0,0,0
37455.2,1021,38241792,0,0,0,0,4
175692,1014,178151424,0,0,0,0,4
21961.4,1087,23872000,0,0,0,0,4
15006.8,1138,17077760,0,0,0,0,4
13747.2,1086,14929408,0,0,0,0,4
12764.5,1370,17487360,0,0,0,0,4
8777.1,3754,32949248,0,0,0.0010134,0,4
7600.37,1003,7623168,0,0,0,0,4
7431.4,1176,8739328,0,0,0,0,4
15656.4,1071,16768000,0,0,0,0,4
8551.97,1209,10339328,0,0,0,0,4
8044.82,1468,11809792,0,0,0,0,9
8503.63,1017,8648192,0,0,0,0,9
7684.9,1044,8023040,0,0,0,0,9
10859,1321,14344704,0,0,0,0,9
8652.54,1184,10244608,0,0,0,0,9
11887.4,1250,14859264,0,0,0,0,9
9151.73,1171,10716672,0,0,0,0,9
9704.27,1273,12353536,0,0,0,0,9
8050.6,1242,9998848,0,0,0,0,9
9594.83,1138,10918912,0,0,0,0,9
11808.3,1016,11997184,0,0,0,0,9
9041.55,1083,9792000,0,0,0,0,9
8903.19,1077,9588736,0,0,0,0,9
8667.75,1017,8815104,0,0,0,0,9
9107.86,1070,9745408,0,0,0,0,9
8784.29,1218,10699264,0,0,0,0,9
8387.27,1075,9016320,0,0,0,0,9
9652.9,1234,11911680,0,0,0,0,9
9931.29,1151,11430912,0,0,0,0,9
8997.79,1138,10239488,0,0,0,0,9
9301.96,1084,10083328,0,0,0,0,9
10667.5,1067,11382272,0,0,0,0,9
8961.98,1036,9284608,0,0,0,0,9
9148.69,1065,9743360,0,0,0,0,9
10575.4,1003,10607104,0,0,0,0,9
9411.43,1082,10183168,0,0,0,0,9
